show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1142,Movie,Pocahontas,United States,2019-11-12,1995,G,85,Action-Adventure,Free-spirited Pocahontas must find her own path.,Disney
s1142,Movie,Pocahontas,United States,2019-11-12,1995,G,85,Animation,Free-spirited Pocahontas must find her own path.,Disney
s1142,Movie,Pocahontas,United States,2019-11-12,1995,G,85,Family,Free-spirited Pocahontas must find her own path.,Disney
s1143,Movie,Pocahontas II: Journey to a New World,United States,2019-11-12,1998,G,77,Action-Adventure,Pocahontas sets sail for England and the allure of life in a new land.,Disney
s1143,Movie,Pocahontas II: Journey to a New World,United States,2019-11-12,1998,G,77,Animation,Pocahontas sets sail for England and the allure of life in a new land.,Disney
s1143,Movie,Pocahontas II: Journey to a New World,United States,2019-11-12,1998,G,77,Family,Pocahontas sets sail for England and the allure of life in a new land.,Disney
s1144,Movie,Pollyanna,United States,2019-11-12,1960,G,135,Coming of Age,"An orphan brings sunshine into the lives of everyone she meets, despite her stifling aunt.",Disney
s1144,Movie,Pollyanna,United States,2019-11-12,1960,G,135,Drama,"An orphan brings sunshine into the lives of everyone she meets, despite her stifling aunt.",Disney
s1144,Movie,Pollyanna,United States,2019-11-12,1960,G,135,Family,"An orphan brings sunshine into the lives of everyone she meets, despite her stifling aunt.",Disney
s1145,Movie,Pooh's Grand Adventure: The Search for Christopher Robin,United States,2019-11-12,1997,TV-G,78,Action-Adventure,Pooh and his pals set off on an adventure to find their best friend.,Disney
s1145,Movie,Pooh's Grand Adventure: The Search for Christopher Robin,United States,2019-11-12,1997,TV-G,78,Animation,Pooh and his pals set off on an adventure to find their best friend.,Disney
s1145,Movie,Pooh's Grand Adventure: The Search for Christopher Robin,United States,2019-11-12,1997,TV-G,78,Kids,Pooh and his pals set off on an adventure to find their best friend.,Disney
s1146,Movie,Pooh's Heffalump Movie,United States,2019-11-12,2005,G,73,Action-Adventure,Pooh and his friends are shocked when Roo befriends a playful Heffalump.,Disney
s1146,Movie,Pooh's Heffalump Movie,United States,2019-11-12,2005,G,73,Animation,Pooh and his friends are shocked when Roo befriends a playful Heffalump.,Disney
s1146,Movie,Pooh's Heffalump Movie,United States,2019-11-12,2005,G,73,Kids,Pooh and his friends are shocked when Roo befriends a playful Heffalump.,Disney
s1147,Movie,Presto,United States,2019-11-12,2008,G,5,Animation,Presto forgets to feed his rabbit one too many times.,Disney
s1147,Movie,Presto,United States,2019-11-12,2008,G,5,Family,Presto forgets to feed his rabbit one too many times.,Disney
s1147,Movie,Presto,United States,2019-11-12,2008,G,5,Kids,Presto forgets to feed his rabbit one too many times.,Disney
s1148,Movie,Princess Protection Program,United States,2019-11-12,2009,TV-G,90,Buddy,Royalty and roughing it collide when a princess moves in with a tomboy.,Disney
